instruction,input,output
Diye gaye context ke hisaab se sawal ka jawab dein.,"मार्ग ने मार्च 2008 से मई 2008 से अगस्त 2008 तक छह महाद्वीपों के माध्यम से मशाल किया। नियोजित मार्ग में मूल रूप से हो ची मिन्ह सिटी और हांगकांग के बीच ताइपे में एक स्टॉप शामिल था, लेकिन भाषा में बीजिंग और ताइपेई में असहमति थी कि यह वर्णन करने के लिए इस्तेमाल किया गया है कि यह एक अंतरराष्ट्रीय या मार्ग का घरेलू हिस्सा था या नहीं। जबकि चीन और चीनी ताइपे की ओलंपिक समितियां दृष्टिकोण पर शुरुआती आम सहमति तक पहुंच गईं, ताइवान में चीन के गणराज्य की सरकार ने हस्तक्षेप किया, यह बताते हुए कि इस प्लेसमेंट को ताइवान को हांगकांग और मकाऊ के समान स्तर पर रखने के रूप में व्याख्या किया जा सकता है, जो एक निहितार्थ हैइसका विरोध किया। बीजिंग आयोजन समिति ने वार्ता जारी रखने का प्रयास किया, लेकिन ताइवान में 24 किमी मशाल मार्ग के साथ चीन के गणराज्य के झंडे या गान पर आगे विवाद पैदा हुए।। 21 सितंबर, 2007 को वार्ता को समाप्त करने के लिए मध्यरात्रि की समयसीमा द्वारा, ताइवान और चीन मशाल रिले के मुद्दे के साथ आने में असमर्थ थे। अंत में, ताइवान स्ट्रेट के दोनों किनारों ने ताइपे पैर को खत्म करने का फैसला किया।
Ques: मशाल मार्ग छह के साथ कवर किया?",महाद्वीपों
Available jaankari ke basis par question ka answer karein.,"थर्मोग्राफिक कैमरे विद्युत चुम्बकीय स्पेक्ट्रम की इन्फ्रारेड रेंज में विकिरण का पता लगाते हैं (लगभग 900-14,000 नैनोमीटर या 0.9-14 माइक्रोन) और उस विकिरण की छवियों का उत्पादन। चूंकि ब्लैक बॉडी विकिरण कानून के अनुसार, उनके तापमान के आधार पर इन्फ्रारेड विकिरण को उत्सर्जित किया जाता है, इसलिए थर्मोग्राफी को दृश्यमान रोशनी के साथ या उसके बिना किसी के पर्यावरण को ""देखना"" संभव बनाता है। किसी वस्तु द्वारा उत्सर्जित विकिरण की मात्रा तापमान के साथ बढ़ती है, इसलिए थर्मोग्राफी तापमान में भिन्नता देखने की अनुमति देती है (इसलिए नाम)।
Ques: नैनोमीटर में, विद्युत चुम्बकीय स्पेक्ट्रम की सीमा क्या है?","900-14,000"
Answer the given question based on the provided information.,"सीजन के अंत में, रैंडी जैक्सन, मूल न्यायाधीशों के आखिरी शेष, ने घोषणा की कि वह अब अन्य व्यावसायिक उद्यमों को आगे बढ़ाने के लिए एक न्यायाधीश के रूप में सेवा नहीं करेगा। न्यायाधीशों ने मारिया केरी और निकी मिनाज दोनों ने एक सीजन के बाद अपने संगीत करियर पर ध्यान केंद्रित करने का फैसला किया।
Ques: अमेरिकी आइडल पर मारिया कैरी एक न्यायाधीश कितने मौसम थे?",एक
Provide a response to the question using the given details.,"उस वर्ष वारसॉ में वापस, चोपिन ने निकोलो पगानिनी को वायलिन को सुना, और बदलावों का एक सेट बनाया, स्मारिका डी पग्निनी। यह इस अनुभव का हो सकता है जिसने उन्हें अपने पहले éTUDES (1829-32) लिखने के लिए प्रोत्साहित किया,, अपने स्वयं के साधन की क्षमताओं की खोज की। 11 अगस्त को, वारसॉ कंज़र्वेटरी में अपनी पढ़ाई पूरी करने के तीन सप्ताह बाद, उन्होंने वियना में अपनी शुरुआत की। उन्होंने दो पियानो संगीत कार्यक्रम दिए और कई अनुकूल समीक्षा प्राप्त की - कुछ टिप्पणी (चोपिन के अपने शब्दों में) के अलावा वह ""स्थानीय कलाकारों के पियानो-बैशिंग के आदी लोगों के लिए बहुत नाजुक था""। इनमें से एक संगीत कार्यक्रम में, उन्होंने एल सीआई डारम ला मनो, ओपी पर अपनी बदलावों का प्रीमियर किया। 2 (पियानो और ऑर्केस्ट्रा के लिए मोजार्ट के ओपेरा डॉन जियोवानी से एक एरिया पर भिन्नता)। वह सितंबर 1829 में वारसॉ लौट आए, जहां उन्होंने अपने पियानो कॉन्सर्टो नंबर का प्रीमियर किया। 2 एफ नाबालिग, ओपी में। 21 मार्च 1830 को।
Ques: अपनी पढ़ाई पूरी करने के बाद चोपिन की शुरुआत हुई?",वियना
Use the supplied information to answer the question.,"भूकंप के बाद, यूसुफ ने अपने प्रधान मंत्री को और भी शक्ति दी, और सेबेस्टीओ डी मेलो एक शक्तिशाली, प्रगतिशील तानाशाह बन गया। जैसे ही उनकी शक्ति बढ़ी, उसके दुश्मन संख्या में वृद्धि हुई, और उच्च कुलीनता के साथ कड़वा विवाद लगातार बन गए। 1758 में जोसेफ मुझे हत्या में घायल हो गया था। तवारा परिवार और एविरो के ड्यूक को त्वरित परीक्षण के बाद फंस दिया गया और निष्पादित किया गया। जेसुइट्स को देश से निष्कासित कर दिया गया था और उनकी संपत्ति ताज से जब्त कर ली गई थी। सेबेस्टियो डी मेलो ने हर व्यक्ति को शामिल किया, यहां तक कि महिलाओं और बच्चों को भी। यह अंतिम स्ट्रोक था जिसने अभिजात वर्ग की शक्ति को तोड़ दिया। यूसुफ मैंने 1759 में अपने वफादार मंत्री गिनती की।
Ques: यूसुफ ने किस वर्ष में अपने मंत्री को ओईरस की गिनती की?",1759
Respond to the question according to the provided context.,"एक दार्शनिक स्कूल जिसने ऐतिहासिक रूप से प्रक्रिया दर्शन के साथ घनिष्ठ संबंध बनाया है वह अमेरिकी व्यावहारिकता है। व्हाइटहेड ने खुद विलियम जेम्स और जॉन डेवी के बारे में सोचा, और प्रक्रिया और वास्तविकता के प्रस्ताव में उनकी ऋणीता को स्वीकार किया। चार्ल्स हार्टशोर्न (पॉल वीस के साथ) चार्ल्स सैंडर्स पीरस के एकत्रित कागजात, व्यावहारिकता के संस्थापक में से एक को संपादित करते हैं। उल्लेखनीय neopragmatist रिचर्ड Rorty बदले में हार्टशोर्न के छात्र थे। आज, निकोलस शोधकर्ता एक दार्शनिक का एक उदाहरण है जो प्रक्रिया दर्शन और व्यावहारिकता दोनों की वकालत करता है।
Ques: व्यावहारिकता के संस्थापक को एकत्रित किया गया है जो चार्ल्स हार्टशोर्न और पॉल वीस को संपादित करते हैं?",चार्ल्स सैंडर्स पीरस
दिए गए जानकारी के आधार पर प्रश्न का उत्तर दें।,"हाल के वर्षों में यह कई एसी स्टेशनों, विशेष रूप से नरम एसी स्टेशनों के लिए आम हो गया है, जो नवंबर और दिसंबर में क्रिसमस के मौसम के दौरान मुख्य रूप से या विशेष रूप से क्रिसमस संगीत चलाने के लिए आम हो गया है। हालांकि ये ज्यादातर सामान्य प्रारूप के तहत दिखाए गए कुछ कलाकारों द्वारा समकालीन मौसमी रिकॉर्डिंग होने के लिए जाते हैं, ज्यादातर स्टेशन पुराने पॉप, मोर, और वयस्क मानकों कलाकारों से कुछ पुरानी छुट्टी धुनों को भी हवा देंगे - जैसे कि नेट किंग कोल, बिंग क्रॉस्बी, डीनमार्टिन, कालीनर्स, पर्सी फेथ, जॉनी मैथिस और एंडी विलियम्स - जिनमें से कई बाकी वर्ष के दौरान इन स्टेशनों पर कभी नहीं खेले जाएंगे।
Ques: क्रिसमस का मौसम किस दो महीने में होता है?",नवंबर और दिसंबर
प्रदान की गई जानकारी का उपयोग करके प्रश्न का उत्तर दें।,"एक खेल का पहला लिखित खाता 15 अक्टूबर, 1862 को मॉन्ट्रियल क्रिकेट मैदान पर था। यह पहली बटालियन ग्रेनेडियर गार्ड और दूसरी बटालियन स्कॉट्स फ्यूजिलियर गार्ड के बीच था जिसके परिणामस्वरूप ग्रेनेडियर गार्ड 3 लक्ष्यों, 2 रूज से कुछ भी नहीं था। [उद्धरण वांछित] 1864 में, ट्रिनिटी कॉलेज, टोरंटो, एफ में। बारलो कम्बरलैंड, फ्रेडरिक ए। बथुन, और क्रिस्टोफर ग्विन, मिल्टन, मैसाचुसेट्स के संस्थापकों में से एक, रग्बी फुटबॉल के आधार पर नियम तैयार किए गए। 3 नवंबर, 1869 को गठित हैमिल्टन फुटबॉल क्लब के साथ खेल धीरे-धीरे एक निम्नलिखित प्राप्त हुआ, (कनाडा में सबसे पुराना फुटबॉल क्लब)। मॉन्ट्रियल ने 8 अप्रैल, 1872 को एक टीम बनाई, टोरंटो का गठन 4 अक्टूबर, 1873, और 20 सितंबर, 1876 को ओटावा एफबीसी को बनाया गया था।
Ques: कनाडा में सबसे पुराना फुटबॉल क्लब क्या है?",हैमिल्टन फुटबॉल क्लब
दिए गए संदर्भ के अनुसार प्रश्न का उत्तर दें।,"समुद्री स्तनधारी कई हैं, जैसे डॉल्फ़िन, पोर्पोइज़ और व्हेल, जो दिसंबर से मई तक प्रवास की अवधि के दौरान यहां देखे जाते हैं। द्वीप के समुद्र तट के किनारे कछुए एक आम दृश्य हैं। वे एक संरक्षित प्रजाति हैं और लुप्तप्राय सूची में हैं। ऐसा कहा जाता है कि इस प्रजाति को प्रजनन आयु प्राप्त करने में 15-50 वर्ष लगेंगे। हालांकि वे समुद्र में रहते हैं, मादाएं अंडे देने के लिए किनारे पर आती हैं और निजी समाजों द्वारा संरक्षित होती हैं। कछुओं की तीन प्रजातियां विशेष रूप से उल्लेखनीय हैं। ये हैं: लेदरबैक समुद्री कछुए जिनकी खाल के बजाय चमड़े की त्वचा होती है और यहां पाए जाने वाले प्रकार के सबसे बड़े होते हैं, कभी-कभी 3 मीटर (औसत लगभग 1.5 मीटर) और लगभग 450 किलोग्राम वजन (जेलीफ़िश उनकी पसंदीदा होती है) आहार); हॉक्सबिल कछुए, जिनकी बाज जैसी चोंच होती है और वे रीफ्स के पास पाए जाते हैं, आमतौर पर लगभग 90 सेंटीमीटर व्यास वाले और लगभग 60 किलोग्राम वजन के होते हैं और उनके आहार में केकड़े और घोंघे होते हैं; और हरे कछुए, शाकाहारी, जिनके सिर गोल होते हैं, आमतौर पर लगभग 90 सेंटीमीटर व्यास के होते हैं और लंबी समुद्री घासों के बीच रहते हैं।
Ques: हरे कछुए कहाँ रहते हैं?",लंबे समुद्र के घास के बीच
उपलब्ध जानकारी के आधार पर सवाल का जवाब दें।,"पश्चिम ने शुरुआती उम्र में कला के लिए एक संबंध दिखाया;उन्होंने कविता लिखना शुरू किया जब वह पाँच साल का था। उनकी मां ने याद किया कि उसने पहले तीसरी कक्षा में होने पर ड्राइंग और संगीत के लिए पश्चिम के जुनून की सूचना ली। शहर में बढ़ रहा है, [जो। ] पश्चिम अपने हिप हॉप दृश्य में गहराई से शामिल हो गया। उन्होंने तीसरी कक्षा में रैपिंग शुरू कर दी और सातवीं कक्षा में संगीत रचनाएं शुरू कर दीं, अंततः उन्हें अन्य कलाकारों को बेच रही थीं। तेरह वर्ष की उम्र में, पश्चिम ने ""ग्रीन अंडे और हैम"" नामक एक रैप गीत लिखा और अपनी मां को रिकॉर्डिंग स्टूडियो में समय के लिए $25 प्रति घंटे का भुगतान करने के लिए राजी करना शुरू कर दिया। यह एक छोटा, क्रूड बेसमेंट स्टूडियो था जहां एक माइक्रोफोन एक तार कपड़े हैंगर द्वारा छत से लटका दिया जाता है। हालांकि यह पश्चिम की मां नहीं चाहता था, फिर भी उसने उसे समर्थन दिया। प्रोड्यूसर / डीजे नो आई के साथ वेस्ट क्रॉस्ड पथ। , जिसके साथ उसने जल्दी से एक करीबी दोस्ती बनाई। नहीं। जल्द ही पश्चिम के संरक्षक बन गए, और यह उनसे था कि पश्चिम ने 15 साल की उम्र में अपना पहला नमूना प्राप्त करने के बाद नमूना और प्रोग्राम कैसे पीट दिया।
Ques: निर्माता का नाम क्या था जिसने कन्या वेस्ट की मदद की?",नहीं
Diye gaye jaankari ke aadhaar par question ka answer dein.,"अगस्त 2012 में, एएफएल ने चीन में एक नई परियोजना की घोषणा की, जिसे चीन अमेरिकन फुटबॉल लीग के नाम से जाना जाता है। सीएएफएल परियोजना का नेतृत्व ईएसपीएन एनएफएल विश्लेषक और फिलाडेल्फिया आत्मा बहुमत के मालिक राष्ट्रपति रॉन जवार्नकी द्वारा किया जाता है। योजनाएं छह-टीम लीग स्थापित करने की थीं जो 10-सप्ताह की अनुसूची खेलती थीं जो अक्टूबर 2014 में शुरू करने के लिए तैयार थीं। एएफएल कोच और ट्रेनर चीन की यात्रा करेंगे ताकि चीनी और अमेरिकी खिलाड़ियों से बने स्क्वॉड को खेल के नियमों को एक आधिकारिक चीनी एरिना लीग शुरू करने के लक्ष्य के साथ सिखाएंगे। गणलान मीडिया इंटरनेशनल को नए चीनी लीग के विशेष अधिकार दिए गए थे।
Ques: क्या टीम रॉन जवार्की का बहुमत मालिक है?",फिलाडेल्फिया आत्मा
Jo information provide ki gayi hai uske basis par question ka jawab dein.,"शो के बाद दोनों फाइनल में सफलता मिली, लेकिन ऐइकन ने आउट-प्रदर्शन किए गए स्टडर्ड के कोरोनेशन गीत ""फ्लाइंग विंग्स"" शो से अपनी एकल रिलीज के साथ ""यह द नाइट"" के साथ-साथ उनके बाद के एल्बम रिलीज़ में भी। चौथे स्थान के फिनिशर जोश ग्रासिन ने देश के गायक के रूप में कुछ सफलता का भी आनंद लिया।
Ques: अंतिम दो में से किसके पास अपने पहले एल्बम के साथ अधिक सफलता मिली?",ऐइकन
Diye gaye context ke hisaab se sawal ka jawab dein.,"कला की मानव विज्ञान में केंद्रीय समस्याओं में से एक सांस्कृतिक घटना के रूप में 'कला' की सार्वभौमिकता से संबंधित है। कई मानवविज्ञानी ने नोट किया है कि 'पेंटिंग', 'मूर्तिकला', या 'साहित्य' की पश्चिमी श्रेणियां, स्वतंत्र कलात्मक गतिविधियों के रूप में कल्पना की गईं, अस्तित्व में नहीं है, या अधिकांश गैर-पश्चिमी संदर्भों में काफी अलग रूप में मौजूद हैं। इस कठिनाई को बढ़ाने के लिए, कला के मानवविज्ञानी ने वस्तुओं में औपचारिक विशेषताओं पर ध्यान केंद्रित किया है, जो विशेष रूप से 'कलात्मक' होने के बिना, कुछ स्पष्ट 'सौंदर्यशास्त्र' गुण हैं। बोस 'आदिम कला, क्लाउड लेवी-स्ट्रॉस' मास्क का रास्ता (1982) या जेर्ट्ज की 'कला के रूप में सांस्कृतिक प्रणाली' (1983) इस प्रवृत्ति में 'कला' के मानव विज्ञान को सांस्कृतिक रूप से विशिष्ट के मानव विज्ञान में बदलने के लिए कुछ उदाहरण हैं 'सौंदर्यशास्त्र '।
Ques: ऑब्जेक्ट्स में क्या औपचारिक विशेषताएं कला फोकस के मानवविज्ञानी करती हैं?",स्पष्ट 'सौंदर्यशास्त्र' गुण
Available jaankari ke basis par question ka answer karein.,"फाइनल के लिए, अमेरिकी आइडल ने 11 मार्च, 2008 को एक नए ऑन-एयर लुक के साथ एक नया अत्याधुनिक सेट और चरण शुरू किया। दाऊद कुक के शीर्ष दस रात पर ""बिली जीन"" के प्रदर्शन ने न्यायाधीशों द्वारा प्रशंसा की थी, लेकिन विवाद को उकसाया जब उन्होंने स्पष्ट रूप से क्रिस कॉर्नेल व्यवस्था को डेविड कुक के रूप में गलत समझा, भले ही प्रदर्शन को कॉर्नेल के संस्करण के रूप में पेश किया गया था। कॉर्नेल ने खुद कहा कि वह 'चापलूसी' और डेविड कुक के प्रदर्शन की प्रशंसा की। दिल की धड़कन और उच्च रक्तचाप के कारण शीर्ष-नौ प्रदर्शन शो के बाद डेविड कुक को अस्पताल ले जाया गया।
Ques: जिन्होंने ""बिली जीन"" के संस्करण की व्यवस्था की कि डेविड कुक ने अमेरिकन आइडल पर प्रदर्शन किया?",क्रिस कॉर्नेल
