instruction,hi_err,hi_corr
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,शे को मैं चिठ्ठी लिखा।, मैंने को चिठ्ठी लिखी।
हिंदी वाक्य में मौजूद गलती को ठीक करें।,मेरा घर केवल दस रुपये में बिका।, मेरा घर केवल दस हजार रुपये में बिका।
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,इस पाठ में बहुत मात्रा में होमवर्क दिया।, इस पाठ में बहुत मात्रा में गृहकार्य दिया।
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,"अच्छा चल बेटा, वो जो बहुत अच्छा है।"," जो अच्छा चल बेटा, वो जो बहुत अच्छा है।"
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,उसने अपनी बहन से झूठ बोली है।, उसने अपनी बहन से झूठ बोला है।
Diye gaye sentence mein grammar ki galti ko theek karo:,वर्मी को लगभग अच्छा ही होता है।, वर्मी को लगभग अच्छा ही होता है।
Hindi sentence ke errors ko identify karke correct karo:,इस बात को हर व्यक्ति पूछता रहता है।, इस बात को हर व्यक्ति पूछता रहता है।
Grammar mistake ko correct karo jo sentence mein hai:,सड़की में कई घोड़े दौड़ते गये।, सड़की में कई घोड़े दौड़ते गये।
Hindi sentence ka grammar sahi karo:,गाँधी एक महान व्यक्ति थे।, गाँधी एक महान व्यक्ति थे।
"Jo bhi error hai Hindi sentence mein, usse fix karo:",आजकल कौन इस मोह को।, आजकल कौन इस मोह को।
Identify and correct the mistake in the provided Hindi sentence:,बच्चों को प्लेट में रखकर खाना खिलाओ।, बच्चों को खाना प्लेट में रखकर खिलाओ।
Fix the grammar error in the given Hindi sentence:,पढ़ाई में आलस्य ठीक नहीं।, पढ़ाई में आलस्य ठीक नहीं।
Make corrections to the grammar of the following Hindi sentence:,चार दिन से यहाँ आया नहीं।, चार दिन से यहाँ आया नहीं।
Correct the given sentence:,इस व्यवहार ने मुझे विस्मित कर दिया।, इस व्यवहार ने मुझे विस्मित कर दिया।
Identify any grammatical issues in the sentence and fix them:,15 अगस्त को देश आजाद हुआ।, 15 अगस्त को देश आजाद हुआ।
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,उसे भारत की रक्षा गुलानी की इच्छा है।, उसे भारत की रक्षा गुलानी की इच्छा है।
हिंदी वाक्य में मौजूद गलती को ठीक करें।,वह बहुत खुश चढ़ी थी।, वह बहुत खुश चढ़ा था।
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,महेशदास उन्मादिया हो गया।, महेशदास उन्मादी हो गया।
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,मैं रावण को मार डाला।, मैं रावण पर मार डाला।
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,वह प्रकाश के क्षेत्र में गिर जा रहा है।, वह प्रकाश के क्षेत्र में गिर जा रहा है।
Diye gaye sentence mein grammar ki galti ko theek karo:,उसकी लिपि हिंदी है।, उसकी लिपि देवनागरी है।
Hindi sentence ke errors ko identify karke correct karo:,चार बजने को दस मिनट है।, चार बजने में दस मिनट हैं।
Grammar mistake ko correct karo jo sentence mein hai:,व्यक्ति अपनी गरज से नाक घिसता है।, व्यक्ति अपनी गरज से नाक रगड़ता है।
Hindi sentence ka grammar sahi karo:,वायुयान चार घंटा बाद आएगा।, वायुयान चार घंटे बाद आएगा।
"Jo bhi error hai Hindi sentence mein, usse fix karo:",पूज्यनीय पिता जी नहीं आए।, पूज्य/पूजनीय पिता जी नहीं आए।
Identify and correct the mistake in the provided Hindi sentence:,चाय बहुत दानादार है।, चाय बहुत दानेदार है।
Fix the grammar error in the given Hindi sentence:,कृष्ण ने कंस का हत्या की।, कृष्ण ने कंस का वध किया।
Make corrections to the grammar of the following Hindi sentence:,शीतल आम का रस पीजिए।, आम का शीतल रस पीजिए।
Correct the given sentence:,कोलंबस ने अमेरिका का आविष्कार किया।, कोलंबस ने अमेरिका की खोज की।
