instruction,hi_err,hi_corr
Hindi sentence ka grammar sahi karo:,यह सरकार का एक रूप हैं जिसके अन्तर्गत राज्य का प्रमुख राजा नहीं होता,यह सरकार का एक रूप है जिसके अन्तर्गत राज्य का प्रमुख राजा नहीं होता
"Jo bhi error hai Hindi sentence mein, usse fix karo:",यह सरकार का एक रूप है जिसकी अन्तर्गत राज्य का प्रमुख राजा नहीं होता,यह सरकार का एक रूप है जिसके अन्तर्गत राज्य का प्रमुख राजा नहीं होता
Identify and correct the mistake in the provided Hindi sentence:,"ये जाने पहचाने क्षिप्रा के घाट हैं , जो सुबह सुबह महाकाल और हरसिध्दि मंदिरों की छाया का स्वागत करते हैं","ये जाने पहचाने क्षिप्रा के घाट है , जो सुबह सुबह महाकाल और हरसिध्दि मंदिरों की छाया का स्वागत करते हैं"
Fix the grammar error in the given Hindi sentence:,"ये जाने पहचाने क्षिप्रा के घाट है , जो सुबह सुबह महाकाल और हरसिध्दि मंदिरों की छाया का स्वागत करते है","ये जाने पहचाने क्षिप्रा के घाट है , जो सुबह सुबह महाकाल और हरसिध्दि मंदिरों की छाया का स्वागत करते हैं"
Make corrections to the grammar of the following Hindi sentence:,पहाड़ अक्सर धर्म में महत्वपूर्ण भूमिका निभाते है,पहाड़ अक्सर धर्म में महत्वपूर्ण भूमिका निभाते हैं
Correct the given sentence:,की सिस्टम और प्रक्रिया ऐसी हैं कि बाजार की पारदर्शिता और सुरक्षा बनी रहे,की सिस्टम और प्रक्रिया ऐसी है कि बाजार की पारदर्शिता और सुरक्षा बनी रहे
Identify any grammatical issues in the sentence and fix them:,युद्ध में तुर्की की हार हुईं और यह ब्रिटिश सासन का अंग बना,युद्ध में तुर्की की हार हुई और यह ब्रिटिश सासन का अंग बना
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,उसके दैत्य सेना भी नष्ट कर दी जाती है,उसकी दैत्य सेना भी नष्ट कर दी जाती है
हिंदी वाक्य में मौजूद गलती को ठीक करें।,उसकी दैत्य सेना भी नष्ट कर दी जाती हैं,उसकी दैत्य सेना भी नष्ट कर दी जाती है
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,"लगभग 5 , 500 फीट की ऊँचाई पर स्वर्ग आश्रम की पहाड़ी की चोटी पर नीलकण्ठ महादेव मन्दिर स्थित हैं","लगभग 5 , 500 फीट की ऊँचाई पर स्वर्ग आश्रम की पहाड़ी की चोटी पर नीलकण्ठ महादेव मन्दिर स्थित है"
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,सन १८५७ की क्रांति के समय पलामू में अंग्रेजों के विरुद्ध अनेक सशस्त्र संग्राम छिड़े था,सन १८५७ की क्रांति के समय पलामू में अंग्रेजों के विरुद्ध अनेक सशस्त्र संग्राम छिड़े थे
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,मार्च 2000 से ( ओडिशा के नवीन पटनायक सबसे लम्बा समय से पदस्थ मुख्यमन्त्री हैं,मार्च 2000 से ( ओडिशा के नवीन पटनायक सबसे लम्बे समय से पदस्थ मुख्यमन्त्री हैं
Diye gaye sentence mein grammar ki galti ko theek karo:,मार्च 2000 से ( ओडिशा के नवीन पटनायक सबसे लम्बे समय से पदस्थ मुख्यमन्त्री है,मार्च 2000 से ( ओडिशा के नवीन पटनायक सबसे लम्बे समय से पदस्थ मुख्यमन्त्री हैं
Hindi sentence ke errors ko identify karke correct karo:,कविता ने एक बार एक साक्षात्कार में बताया थीं कि बचपन में उनको अभिनेता दिलीप कुमार बहुत पसंद थे,कविता ने एक बार एक साक्षात्कार में बताया था कि बचपन में उनको अभिनेता दिलीप कुमार बहुत पसंद थे
Grammar mistake ko correct karo jo sentence mein hai:,कविता ने एक बार एक साक्षात्कार में बताया था कि बचपन में उनको अभिनेता दिलीप कुमार बहुत पसंद थीं,कविता ने एक बार एक साक्षात्कार में बताया था कि बचपन में उनको अभिनेता दिलीप कुमार बहुत पसंद थे
Hindi sentence ka grammar sahi karo:,"टेक्सटाइल , चमड़े और पार्चमेंट पर भी सोना चढ़ाया जाता हैं तथा इन प्रचलित कामों में सोना अधिक मात्रा में उपभुक्त होता है","टेक्सटाइल , चमड़े और पार्चमेंट पर भी सोना चढ़ाया जाता है तथा इन प्रचलित कामों में सोना अधिक मात्रा में उपभुक्त होता है"
"Jo bhi error hai Hindi sentence mein, usse fix karo:","टेक्सटाइल , चमड़े और पार्चमेंट पर भी सोना चढ़ाया जाता है तथा इन प्रचलित कामों में सोना अधिक मात्रा में उपभुक्त होता हैं","टेक्सटाइल , चमड़े और पार्चमेंट पर भी सोना चढ़ाया जाता है तथा इन प्रचलित कामों में सोना अधिक मात्रा में उपभुक्त होता है"
Identify and correct the mistake in the provided Hindi sentence:,नवम्बर ग्रेगोरी कैलंडर और जूलियन कैलेंडर का ग्यारहवाँ महीना हैं,नवम्बर ग्रेगोरी कैलंडर और जूलियन कैलेंडर का ग्यारहवाँ महीना है
Fix the grammar error in the given Hindi sentence:,चूँकि सृष्टि का नियन्ता ब्रह्मा हैं इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं
Make corrections to the grammar of the following Hindi sentence:,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसकी मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं
Correct the given sentence:,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुई वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं
Identify any grammatical issues in the sentence and fix them:,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक है तथा प्रत्येक नियम के आदि स्रोत हैं,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत है,चूँकि सृष्टि का नियन्ता ब्रह्मा है इसीलिए उसके मुख से निकले हुए वचन पूर्ण प्रामाणिक हैं तथा प्रत्येक नियम के आदि स्रोत हैं
हिंदी वाक्य में मौजूद गलती को ठीक करें।,इन गुण सूत्रों में उपस्थित जीन कोशिका का जीनोम होते है और कोशिका की प्रक्रियाओं को संचालित करते हैं,इन गुण सूत्रों में उपस्थित जीन कोशिका का जीनोम होते हैं और कोशिका की प्रक्रियाओं को संचालित करते हैं
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,इन गुण सूत्रों में उपस्थित जीन कोशिका का जीनोम होते हैं और कोशिका की प्रक्रियाओं को संचालित करते है,इन गुण सूत्रों में उपस्थित जीन कोशिका का जीनोम होते हैं और कोशिका की प्रक्रियाओं को संचालित करते हैं
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,चार प्रमुख कवि जो अपना अपनी धारा का प्रतिनिधित्व करते हैं,चार प्रमुख कवि जो अपनी अपनी धारा का प्रतिनिधित्व करते हैं
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,चार प्रमुख कवि जो अपनी अपना धारा का प्रतिनिधित्व करते हैं,चार प्रमुख कवि जो अपनी अपनी धारा का प्रतिनिधित्व करते हैं
Diye gaye sentence mein grammar ki galti ko theek karo:,चार प्रमुख कवि जो अपनी अपनी धारा का प्रतिनिधित्व करते है,चार प्रमुख कवि जो अपनी अपनी धारा का प्रतिनिधित्व करते हैं
Hindi sentence ke errors ko identify karke correct karo:,यह गहरा बैंगनी रंग का चूर्ण है जिसे कुछ रासायनिक जलयुक्त ऑक्साइड ( 2 ) कहते हैं,यह गहरे बैंगनी रंग का चूर्ण है जिसे कुछ रासायनिक जलयुक्त ऑक्साइड ( 2 ) कहते हैं
Grammar mistake ko correct karo jo sentence mein hai:,यह गहरे बैंगनी रंग का चूर्ण हैं जिसे कुछ रासायनिक जलयुक्त ऑक्साइड ( 2 ) कहते हैं,यह गहरे बैंगनी रंग का चूर्ण है जिसे कुछ रासायनिक जलयुक्त ऑक्साइड ( 2 ) कहते हैं
Hindi sentence ka grammar sahi karo:,यह गहरे बैंगनी रंग का चूर्ण है जिसे कुछ रासायनिक जलयुक्त ऑक्साइड ( 2 ) कहते है,यह गहरे बैंगनी रंग का चूर्ण है जिसे कुछ रासायनिक जलयुक्त ऑक्साइड ( 2 ) कहते हैं
"Jo bhi error hai Hindi sentence mein, usse fix karo:",वार्षिक वर्षा लगभग 1430 मिमी ( 56 34 इंच ) हैं,वार्षिक वर्षा लगभग 1430 मिमी ( 56 34 इंच ) है
Identify and correct the mistake in the provided Hindi sentence:,आधे से अधिक मानवता पानी के लिए पहाड़ों पर निर्भर हैं,आधे से अधिक मानवता पानी के लिए पहाड़ों पर निर्भर है
Fix the grammar error in the given Hindi sentence:,"यह कीनिया के दक्षिणी भाग में अथी नदी के किनारे 1 , 795 मीटर ( 5 , 889 फ़ुट ) की ऊँचाई पर स्थित हैं","यह कीनिया के दक्षिणी भाग में अथी नदी के किनारे 1 , 795 मीटर ( 5 , 889 फ़ुट ) की ऊँचाई पर स्थित है"
Make corrections to the grammar of the following Hindi sentence:,"सन् 335 ईसापूर्व के आसपास मकदूनिया में सिकन्दर ( अलेक्ज़ेन्डर , अलेक्षेन्द्र ) का उदय हुई","सन् 335 ईसापूर्व के आसपास मकदूनिया में सिकन्दर ( अलेक्ज़ेन्डर , अलेक्षेन्द्र ) का उदय हुआ"
Correct the given sentence:,सामान्यत एक माह में चार सप्ताह होते है और एक सप्ताह में सात दिन होते हैं,सामान्यत एक माह में चार सप्ताह होते हैं और एक सप्ताह में सात दिन होते हैं
Identify any grammatical issues in the sentence and fix them:,सामान्यत एक माह में चार सप्ताह होते हैं और एक सप्ताह में सात दिन होते है,सामान्यत एक माह में चार सप्ताह होते हैं और एक सप्ताह में सात दिन होते हैं
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,जोरारलबर्ग देश का बहुत बड़ा संघीय पशुपालन केंद्र हैं,जोरारलबर्ग देश का बहुत बड़ा संघीय पशुपालन केंद्र है
हिंदी वाक्य में मौजूद गलती को ठीक करें।,"३९ केरल में , लोग मलयालम कैलेंडर के अनुसार सितंबर को मनाते है","३९ केरल में , लोग मलयालम कैलेंडर के अनुसार सितंबर को मनाते हैं"
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,"जनता ने आंदोलन किया कि उनके स्वास्थ्य ठीक नहीं है , उन्हें चिकित्सा की सुविधा से दूर रखना अमानुषिक है","जनता ने आंदोलन किया कि उनका स्वास्थ्य ठीक नहीं है , उन्हें चिकित्सा की सुविधा से दूर रखना अमानुषिक है"
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,"जनता ने आंदोलन किया कि उनका स्वास्थ्य ठीक नहीं हैं , उन्हें चिकित्सा की सुविधा से दूर रखना अमानुषिक है","जनता ने आंदोलन किया कि उनका स्वास्थ्य ठीक नहीं है , उन्हें चिकित्सा की सुविधा से दूर रखना अमानुषिक है"
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,"जनता ने आंदोलन किया कि उनका स्वास्थ्य ठीक नहीं है , उन्हें चिकित्सा की सुविधा से दूर रखना अमानुषिक हैं","जनता ने आंदोलन किया कि उनका स्वास्थ्य ठीक नहीं है , उन्हें चिकित्सा की सुविधा से दूर रखना अमानुषिक है"
Diye gaye sentence mein grammar ki galti ko theek karo:,पलाश का जन्म २३ सितम्बर १९६५ को बनारस में हुए था,पलाश का जन्म २३ सितम्बर १९६५ को बनारस में हुआ था
Hindi sentence ke errors ko identify karke correct karo:,पलाश का जन्म २३ सितम्बर १९६५ को बनारस में हुआ थीं,पलाश का जन्म २३ सितम्बर १९६५ को बनारस में हुआ था
Grammar mistake ko correct karo jo sentence mein hai:,इसी समय फ़ारस में हख़ामनी ( एकेमेनिड ) उदय हो रहा थे,इसी समय फ़ारस में हख़ामनी ( एकेमेनिड ) उदय हो रहा था
Hindi sentence ka grammar sahi karo:,""" मोर "" शब्द का प्रयोग आमतौर पर दोनों लिंगों मतलब नर और मादा दोनों पक्षियों को संदर्भित करने के लिए किया जाता हैं",""" मोर "" शब्द का प्रयोग आमतौर पर दोनों लिंगों मतलब नर और मादा दोनों पक्षियों को संदर्भित करने के लिए किया जाता है"
"Jo bhi error hai Hindi sentence mein, usse fix karo:",भारत का पश्चिम बंगाल ( बङ्गाल ) राज्य इसकी दक्षिण में है,भारत का पश्चिम बंगाल ( बङ्गाल ) राज्य इसके दक्षिण में है
Identify and correct the mistake in the provided Hindi sentence:,भारत का पश्चिम बंगाल ( बङ्गाल ) राज्य इसके दक्षिण में हैं,भारत का पश्चिम बंगाल ( बङ्गाल ) राज्य इसके दक्षिण में है
Fix the grammar error in the given Hindi sentence:,देश के संसद को स्टोरटिंग कहा जाता हैं जिसके सदस्य हर चार साल बाद चुने जाते हैं,देश के संसद को स्टोरटिंग कहा जाता है जिसके सदस्य हर चार साल बाद चुने जाते हैं
Make corrections to the grammar of the following Hindi sentence:,देश के संसद को स्टोरटिंग कहा जाता है जिसकी सदस्य हर चार साल बाद चुने जाते हैं,देश के संसद को स्टोरटिंग कहा जाता है जिसके सदस्य हर चार साल बाद चुने जाते हैं
Correct the given sentence:,देश के संसद को स्टोरटिंग कहा जाता है जिसके सदस्य हर चार साल बाद चुने जाते है,देश के संसद को स्टोरटिंग कहा जाता है जिसके सदस्य हर चार साल बाद चुने जाते हैं
Identify any grammatical issues in the sentence and fix them:,डिब्रूगढ़ भी ब्रह्मपुत्र के बेहिसाब प्रवाह का एक बड़ा हिस्सा देखता हैं,डिब्रूगढ़ भी ब्रह्मपुत्र के बेहिसाब प्रवाह का एक बड़ा हिस्सा देखता है
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,यह चित्रकला मुख्य रूप से महिलाओं द्वारा बनाई जाती हैं और इसमें प्राकृतिक रंगों का उपयोग किया जाता है,यह चित्रकला मुख्य रूप से महिलाओं द्वारा बनाई जाती है और इसमें प्राकृतिक रंगों का उपयोग किया जाता है
हिंदी वाक्य में मौजूद गलती को ठीक करें।,यह चित्रकला मुख्य रूप से महिलाओं द्वारा बनाई जाती है और इसमें प्राकृतिक रंगों का उपयोग किया जाता हैं,यह चित्रकला मुख्य रूप से महिलाओं द्वारा बनाई जाती है और इसमें प्राकृतिक रंगों का उपयोग किया जाता है
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,हिंदू दर्शन की चार्वाक पद्धति इस दिशा में अपवादस्वरूप हैं,हिंदू दर्शन की चार्वाक पद्धति इस दिशा में अपवादस्वरूप है
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,भारत स्वयः एक लोकतान्त्रिक गणराज्य हैं,भारत स्वयः एक लोकतान्त्रिक गणराज्य है
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,आरण्यक ग्रन्थ वस्तुतः ब्राह्मणों के परिशिष्ट भाग है और उपनिषदों के पूर्वरूप,आरण्यक ग्रन्थ वस्तुतः ब्राह्मणों के परिशिष्ट भाग हैं और उपनिषदों के पूर्वरूप
Diye gaye sentence mein grammar ki galti ko theek karo:,मार्च २०१३ तक सभी नए प्रशासनिक प्रभागों के लिए राष्ट्रीय जनगणना और राज्य सांख्यिकीय रिपोर्ट उपलब्ध नहीं है,मार्च २०१३ तक सभी नए प्रशासनिक प्रभागों के लिए राष्ट्रीय जनगणना और राज्य सांख्यिकीय रिपोर्ट उपलब्ध नहीं हैं
Hindi sentence ke errors ko identify karke correct karo:,सन् १९१७ में यहाँ बोल्शेविक क्रांति हुआ जिसके कारण साम्यवादी शासन स्थापित हुआ,सन् १९१७ में यहाँ बोल्शेविक क्रांति हुई जिसके कारण साम्यवादी शासन स्थापित हुआ
Grammar mistake ko correct karo jo sentence mein hai:,सन् १९१७ में यहाँ बोल्शेविक क्रांति हुई जिसका कारण साम्यवादी शासन स्थापित हुआ,सन् १९१७ में यहाँ बोल्शेविक क्रांति हुई जिसके कारण साम्यवादी शासन स्थापित हुआ
Hindi sentence ka grammar sahi karo:,सन् १९१७ में यहाँ बोल्शेविक क्रांति हुई जिसके कारण साम्यवादी शासन स्थापित हुईं,सन् १९१७ में यहाँ बोल्शेविक क्रांति हुई जिसके कारण साम्यवादी शासन स्थापित हुआ
"Jo bhi error hai Hindi sentence mein, usse fix karo:","संस्करण 1908 ई ऋग्वेद ही नहीं , अन्य वैदिक संहिताग्रन्थों में भी यह शब्द नहीं हैं","संस्करण 1908 ई ऋग्वेद ही नहीं , अन्य वैदिक संहिताग्रन्थों में भी यह शब्द नहीं है"
Identify and correct the mistake in the provided Hindi sentence:,भागलपुर को ( ईसा पूर्व 5वीं सदी ) चंपावती के नाम से जाना जाता थे,भागलपुर को ( ईसा पूर्व 5वीं सदी ) चंपावती के नाम से जाना जाता था
