Musk melon is a refreshing fruit during hot days,गर्म दिनों में खरबूजा एक ताजगी देने वाला फल है।
Grapefruit juice is sour but very healthy,मौसमी का रस खट्टा होता है लेकिन बहुत स्वस्थ होता है।
Java plums are known for their sweetness,जामुन अपनी मिठास के लिए प्रसिद्ध होते हैं।
I bought ripe sapodilla from the local market,मैंने स्थानीय बाजार से पके चीकू खरीदे।
Cherries are in season right now,चेरी अभी मौसम में हैं।
An apple a day keeps the doctor away,एक सेब रोज़ डॉक्टर को दूर रखता है।
Banana is a quick and healthy snack,केला एक त्वरित और स्वस्थ नाश्ता है।
I drink pomegranate juice every morning,मैं हर सुबह अनार का रस पीता हूँ।
Mangoes are the king of fruits,आम फलो का राजा है।
I like drinking fresh orange juice,मुझे ताजा संतरे का रस पीना पसंद है।
Pineapple is both sweet and tangy,अनानास मीठा और खट्टा दोनों होता है।
I eat grapes as a snack in the evening,मैं शाम को नाश्ते के रूप में अंगूर खाता हूँ।
Watermelon is very refreshing in the summer,गर्मियों में तरबूज बहुत ताजगी देने वाला होता है।
I love eating papaya after lunch,मुझे दोपहर के भोजन के बाद पपीता खाना पसंद है।
The apple is red,सेब लाल है।
The sunflower is yellow,सूरजमुखी पीला है।
The grass is green in the park,पार्क में घास हरी है।
The cat is black,बिल्ली काली है।
The clouds are white,बादल सफेद हैं।
The carrot is orange,गाजर संतरी रंग की है।
The sky is blue today,आसमान आज नीला है।
The flower is purple,फूल बैंगनी रंग का है।
The elephant is grey,हाथी स्लेटी रंग का है।
She wore a pink dress,उसने गुलाबी रंग का कपड़ा पहना।
The dog is brown,कुत्ता भूरा है।
Magenta is a vibrant color,गहरा गुलाबी एक चमकीला रंग है।
The peach is soft and juicy,पीच नरम और रसीला होता है।
Forty-two is my lucky number,बयालीस मेरा भाग्यशाली नंबर है।
Forty-three students attended the class,कक्षा में तैतालीस छात्र आए थे।
Forty-four is a square number,चवालीस एक पूर्णांक है।
Forty-five minutes is the duration of the meeting,बैठक की अवधि पैंतालीस मिनट है।
Forty-six people are coming to the party,पार्टी में छयालिस लोग आ रहे हैं।
Forty-seven books are on the shelf,रैक पर सैंतालीस किताबें रखी हैं।
I have forty-eight books in my collection,मेरे पास मेरी संग्रह में अड़तालीस किताबें हैं।
There are forty-nine students in the class,कक्षा में उनचास छात्र हैं।
I bought fifty apples from the market,मैंने बाजार से पचास सेब खरीदे।
There are twenty chairs in the room,कमरे में बीस कुर्सियाँ हैं।
I will turn twenty-one next month,मैं अगले महीने इक्कीस साल का हो जाऊँगा।
She is twenty-two years old,वह बाईस साल की है।
There are twenty-three students in my class,मेरी कक्षा में तेइस छात्र हैं।
He is working twenty-four hours a day,वह हर दिन चौबीस घंटे काम करता है।
The book costs twenty-five rupees,किताब की कीमत पच्चीस रुपये है।
I will be twenty-six years old next year,मैं अगले साल छब्बीस साल का हो जाऊँगा।
My sister is twenty-seven years old,मेरी बहन सताइस साल की है।
The meeting is scheduled for twenty-eight minutes,बैठक अट्ठाइस मिनट के लिए निर्धारित की गई है।
There are twenty-nine students in the class,कक्षा में उनतीस छात्र हैं।
I will arrive in thirty minutes,मैं तीस मिनट में पहुँच जाऊँगा।
There are thirty-one days in January,जनवरी में इकतीस दिन होते हैं।
The temperature will reach thirty-two degrees,तापमान बतीस डिग्री तक पहुँच जाएगा।
My father is thirty-three years old,मेरे पिता तैंतीस साल के हैं।
There are thirty-four people in the meeting,बैठक में चौंतीस लोग हैं।
The book has thirty-five chapters,किताब में पैंतीस अध्याय हैं।
She runs six kilometers in thirty-six minutes,वह छत्तीस मिनट में छह किलोमीटर दौड़ती है।
I have thirty-seven paintings in my gallery,मेरे गैलरी में सैंतालीस पेंटिंग्स हैं।
He is working on the project for thirty-eight hours,वह इस परियोजना पर अड़तीस घंटे काम कर रहा है।
There are thirty-nine students in the class,कक्षा में उनतालीस छात्र हैं।
The price of the item is forty rupees,वस्तु की कीमत चालीस रुपये है।
I have forty-one friends on social media,मेरे सोशल मीडिया पर इकतालीस दोस्त हैं।
There are zero apples in the basket,टोकरी में शून्य सेब हैं।
I have one pencil in my bag,मेरी बैग में एक पेंसिल है।
I will take two cookies,मैं दो बिस्कुट लूँगा।
There are three books on the table,टेबल पर तीन किताबें हैं।
She has four dogs at home,उसके पास घर में चार कुत्ते हैं।
I have five friends in my class,मेरी कक्षा में पांच दोस्त हैं।
The book has six chapters,किताब में छह अध्याय हैं।
We will leave at seven o'clock,हम सात बजे निकलेंगे।
There are eight players on the team,टीम में आठ खिलाड़ी हैं।
The building has nine floors,इमारत में नौ मंजिलें हैं।
I have ten fingers on my hands,मेरे हाथों में दस अंगुलियाँ हैं।
The train leaves at eleven o'clock,ट्रेन ग्यारह बजे निकलती है।
There are twelve months in a year,एक साल में बारह महीने होते हैं।
She is thirteen years old,वह तेरह साल की है।
There are fourteen students in the classroom,कक्षा में चौदह छात्र हैं।
I have fifteen coins in my pocket,मेरी जेब में पंद्रह सिक्के हैं।
She is sixteen years old,वह सोलह साल की है।
The event starts at seventeen hours,यह घटना सत्रह घंटे पर शुरू होती है।
I will turn eighteen next month,मैं अगले महीने अठारह साल का हो जाऊँगा।
I have nineteen pencils in my bag,मेरी बैग में उन्नीस पेंसिलें हैं।
We go to the park every Sunday,हम हर रविवार को पार्क जाते हैं।
She goes for a walk every Sunday,वह हर इतवार को सैर पर जाती है।
Monday is the first day of the week,सोमवार हफ्ते का पहला दिन है।
I have a meeting on Tuesday,मेरी मंगलवार को एक बैठक है।
We have a holiday on Wednesday,हमारे पास बुधवार को छुट्टी है।
He works on Thursday,वह गुरुवार को काम करता है।
The store is closed on Thursday,दुकान बृहस्पतिवार को बंद रहती है।
I study on Thursday evenings,मैं वीरवार की शाम को पढ़ाई करता हूँ।
Friday is my favorite day,शुक्रवार मेरा पसंदीदा दिन है।
We watch movies on Saturday nights,हम शनिवार रात को फिल्में देखते हैं।
The party is on Saturday,सनीचर को पार्टी है।
