instruction,english,transliterated_hindi
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,Blue,ब्लू
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,Purple,पर्पल
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,Grey,ग्रे
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,Pink,पिंक
Uccharan ko banaye rakhte hue Hindi lipi likhein:,Brown,ब्राउन
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,Magenta,मजेंटा
Nimnlikhit paath ko Hindi lipi mein badlein:,Peach,पीच
Yeh ek lipyantaran kaarya hai.,Apple,एप्पल
Write the Hindi script preserving the pronunciation,Banana,बनाना
"Given the Hinglish word, provide its Hindi equivalent",Pomegranate,पोमेग्रानेट
This is a transliteration task. Convert Hinglish to Hindi script,Mango,मैंगो
Convert the following text into Hindi script:,Orange,ऑरेंज
Convert this sentence from Hinglish phonetic text to Hindi:,Pineapple,पाइनएप्पल
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,Grapes,ग्रपेस
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,Watermelon,वाटरमेलन
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,Papaya,पपाय
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,Guava,ग्वावा
Uccharan ko banaye rakhte hue Hindi lipi likhein:,Blueberry,ब्लूबेरी
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,Lychee,लीची
Nimnlikhit paath ko Hindi lipi mein badlein:,Peach,पीच
Yeh ek lipyantaran kaarya hai.,Pear,पेर
Write the Hindi script preserving the pronunciation,Plum,प्लम
"Given the Hinglish word, provide its Hindi equivalent",Strawberry,स्ट्रॉबेरी
This is a transliteration task. Convert Hinglish to Hindi script,Musk Melon,मस्कमेलन
Convert the following text into Hindi script:,Grapefruit,ग्रैपफूट
Convert this sentence from Hinglish phonetic text to Hindi:,Java Plum,जावा प्लम
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,Sapodilla,सैपडिल
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,Cherry,चेरी
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,Sunday,संडे
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,Monday,मंडे
Uccharan ko banaye rakhte hue Hindi lipi likhein:,Tuesday,ट्यूजडे
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,Wednesday,वेडनस्डे
Nimnlikhit paath ko Hindi lipi mein badlein:,Thursday,थर्सडे
Yeh ek lipyantaran kaarya hai.,Friday,फ्राइडे
Write the Hindi script preserving the pronunciation,Saturday,सैटरडे
