अजीवात् जनन	Abiogenesis
प्रकाशदृक् दृष्टि	Phototopic Vision
संघ	Phylum
शैवाल विज्ञान	Phycology
शरीर क्रियाविज्ञान	Physiology
मत्स्य वर्ग	Pisces
अपरा	Placenta
पराग	Pollen
बहुगुणित	Polyploidy
बहुमूत्रता	Polyuria
प्राइमेट्स, नरवानर गण	Primates
जीवद्रव्य	Protoplasm
कूटपाद	Pseudopodium
नाड़ी	Pulse
पूतिभवन	Putrification
प्रतिवर्ती चाप	Reflex arc
पुनरुद्भवन	Regeneration
प्रबलन	Reinforcement
प्रजनन	Reproduction
सरिसृप	Reptilia
अनुक्रिया	Response
राइबो न्यूक्लिक एसिड	R.N.A.
मूलग्रंथि	Root nodules
गोलकृमि	Roundworms
कोष	Sac
लार	Saliva
स्वपरागण	Self-pollination
ज्ञानेन्द्रिय	Sense organ
यौन	Sex
यौन संक्रामक रोग	Sexually Transmitted Disease (STD)
कायिक	Somatic
जाति	Species
बीजाणु	Spore
बीजाणुधानी	Sporogonium
पुंकेशर	Stamen
आमाशय	Stomach
वर्तिकाग्र	Stigma
वर्तिका	Style
सहजीविता	Symbiosis
सममिति	Symmetry
अनुकंपी तंत्रिका तंत्र	Sympathetic nervous system
स्वाद कलिका	Taste bud
वर्गिकी	Taxonomy
वृषण	Testis
ऊतक	Tissue
ऊतक संवर्धन	Tissue culture
आविष विज्ञान	Toxicology
आविष	Toxin
नाभिरज्जु	Umbilical cord
एककोशिकीय	Unicellular
गर्भाशय	Uterus
पराबैंगनी विकिरण	Ultraviolet radiation
टीकाकरण	Vaccination
रसधानी, रिक्तिका	Vacuole
जीविष	Venom
निलय	Ventricle
कशेरुक	Vertebra
मेरुदंड	Vertebral column
कशेरुकी	Vertebrate
विषाणु	Virus
दृष्टि	Vision
जरायुजता	Viviparity
ऐच्छिक	Voluntary
श्वेत रुधिराणु	White blood corpuscles
पर, पंख	Wing
गर्भाशय	Womb
मरुद्भिद्	Xerophyte
दारु	Xylem
खमीर, यीस्ट	Yeast
पीतक	Yolk
पीतक कोष	Yolk sac
जीवविज्ञान	Zoology
प्राणिप्लवक	Zooplankton
युग्मज	Zygote
