instruction,english,hindi
Is vaakya ko Hindi mein anuvaad karein:,Applied Physics,अनुप्रयुक्त भौतिकी
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Measurement,मापन
Is vaakya ko Hindi mein kaise translate karenge?,Approximation,सन्निकटन
Neeche likha gaya vaakya Hindi mein likhein:,Acceleration,त्वरण
Is vaakya ka Hindi translation pradaan karein:,Acceleration due to gravity,गुरुत्वीय त्वरण
Translate the following sentence to Hindi:,Resistance,प्रतिरोध
Please provide the Hindi translation for the following sentence:,Communication,संचार
How would you say this in Hindi?,Applications,अनुप्रयोग
Convert the given sentence into Hindi:,Nuclear Weapon,आण्विक शस्त्र
What is the Hindi equivalent of this sentence?,Nuclear power reactor,आण्विक शक्ति रिएक्टर
Translate this sentence into Hindi:,Neutron induced fission,न्यूट्रॉन-प्रेरित विखंडन
Provide the Hindi version of the following:,Alternative energy source,वैकल्पिक ऊर्जा स्रोत
How do you translate this sentence to Hindi?,Fossil fuel,जीवाश्मी ईंधन
Rewrite the following in Hindi:,Solar energy,सौर ऊर्जा
Hindi translation of this sentence is required:,Geothermal energy,भूतापीय ऊर्जा
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Genetic engineering,आनुवंशिक अभियांत्रिकी
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Impact,आघात
Is vaakya ko Hindi mein kaise kahenge?,Muscular force,पेशीय बल
Diya gaya vaakya Hindi mein badlein:,Contact force,स्पर्शीय बल
Is vaakya ka Hindi samanarth kya hai?,Friction,घर्षण
Is vaakya ko Hindi mein anuvaad karein:,spring,कमानी
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,tension,तनाव
Is vaakya ko Hindi mein kaise translate karenge?,buoyancy,उत्प्लावकता
Neeche likha gaya vaakya Hindi mein likhein:,Viscous force,श्यानता
Is vaakya ka Hindi translation pradaan karein:,Surface tension,पृष्ठ तनाव
Translate the following sentence to Hindi:,Microscopic domain,सूक्ष्म प्रभाव क्षेत्र
Please provide the Hindi translation for the following sentence:,Intermolecular,अंतराण्विक
How would you say this in Hindi?,Interatomic,अंतरपरमाण्विक
Convert the given sentence into Hindi:,Fundamental force,मूल बल
What is the Hindi equivalent of this sentence?,Elastic force,प्रत्यास्थ बल
Translate this sentence into Hindi:,Derived force,व्युत्पन्न बल
Provide the Hindi version of the following:,Empirical law,आनुभविक नियम
How do you translate this sentence to Hindi?,Directly proportional,अनुक्रमानुपाती
Rewrite the following in Hindi:,Inversely proportional,व्युत्क्रमानुपाती
Hindi translation of this sentence is required:,Artificial satellites,कृत्रिम उपग्रह
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Galactic cluster,मंदाकिनीय गुच्छे
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Unlike charges,विजातीय आवेश
Is vaakya ko Hindi mein kaise kahenge?,Like charges,सजातीय आवेश
Diya gaya vaakya Hindi mein badlein:,Repulsive force,प्रतिकर्षण बल
Is vaakya ka Hindi samanarth kya hai?,Charged constituents,आवेशयुक्त संघटन
Is vaakya ko Hindi mein anuvaad karein:,Instantaneous,तात्क्षणिक
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Normally,अभिलंबवत्
Is vaakya ko Hindi mein kaise translate karenge?,Vertical,ऊर्ध्वाधर
Neeche likha gaya vaakya Hindi mein likhein:,Perpendicularly,लंबवत्
Is vaakya ka Hindi translation pradaan karein:,Horizontal,क्षैतिज
Translate the following sentence to Hindi:,Medium,माध्यम
Please provide the Hindi translation for the following sentence:,Dynamics,गतिकी
How would you say this in Hindi?,Wave theory,तरंग सिद्धांत
Convert the given sentence into Hindi:,Radiation,विकिरण
What is the Hindi equivalent of this sentence?,Brownian motion,ब्राउनी गति
Translate this sentence into Hindi:,Special theory of relativity,आपेक्षिकता का विशिष्ट सिद्धांत
Provide the Hindi version of the following:,Physicist,भौतिकविद्
How do you translate this sentence to Hindi?,Mass-energy equivalence,द्रव्यमान-ऊर्जा तुल्यता
Rewrite the following in Hindi:,General theory of relativity,आपेक्षिकता का व्यापक सिद्धांत
Hindi translation of this sentence is required:,Stimulated emission,उद्दीपित उत्सर्जन
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Black body,कृष्णिका
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Cosmology,ब्रह्मांडिकी
Is vaakya ko Hindi mein kaise kahenge?,Massive boson,स्थूल बोसॉन
Diya gaya vaakya Hindi mein badlein:,Critical,क्रांतिक
Is vaakya ka Hindi samanarth kya hai?,Neutral,उदासीन
Is vaakya ko Hindi mein anuvaad karein:,Cancel,निरस्त
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Intrinsic,आंतरिक
Is vaakya ko Hindi mein kaise translate karenge?,Emitted,"उत्सर्जित, निर्गत"
Neeche likha gaya vaakya Hindi mein likhein:,Bose-Einstein Statistics,बोस-आइंस्टाइन सांख्यिकी
Is vaakya ka Hindi translation pradaan karein:,Fermi-Dirac Statistics,फर्मी-डिरॉक सांख्यिकी
Translate the following sentence to Hindi:,Maxwell-Boltzamann Statistics,मैक्सवैल-बोल्ट्जमान सांख्यिकी
Please provide the Hindi translation for the following sentence:,Pauli exclusion principle,पाउली अपवर्जन सिद्धांत
How would you say this in Hindi?,Spin,प्रचक्रण
Convert the given sentence into Hindi:,Half integer,अर्धपूर्णांक
What is the Hindi equivalent of this sentence?,High energy collision,उच्च ऊर्जा संघट्टð
Translate this sentence into Hindi:,Nuclear process,नाभिकीय प्रक्रिया
Provide the Hindi version of the following:,Decay,क्षय
How do you translate this sentence to Hindi?,Exchange,विनिमय
Rewrite the following in Hindi:,Momentum,संवेग
Hindi translation of this sentence is required:,Impulse,आवेग
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Conservation,संरक्षण
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Recoil,प्रतिक्षेप
Is vaakya ko Hindi mein kaise kahenge?,Infinity,अनंत
Diya gaya vaakya Hindi mein badlein:,Mechanical energy,यांत्रिक ऊर्जा
Is vaakya ka Hindi samanarth kya hai?,Kinetic energy,गतिज ऊर्जा
Is vaakya ko Hindi mein anuvaad karein:,Potential energy,स्थितिज ऊर्जा
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Isolated system,वियुक्त निकाय
Is vaakya ko Hindi mein kaise translate karenge?,First law of thermodynamics,ऊष्मागतिकी का प्रथम नियम
Neeche likha gaya vaakya Hindi mein likhein:,Transformation,रूपांतरण
Is vaakya ka Hindi translation pradaan karein:,Reactant,अभिकारक
Translate the following sentence to Hindi:,Product,उत्पाद
Please provide the Hindi translation for the following sentence:,Indestructible,अविनाशी
How would you say this in Hindi?,Rearrangement,पुनर्व्यवस्था
Convert the given sentence into Hindi:,Exothermic,ऊष्माक्षेपी
What is the Hindi equivalent of this sentence?,Endothermic,ऊष्माशोषी
Translate this sentence into Hindi:,Mass defect,द्रव्यमान-क्षति
Provide the Hindi version of the following:,Numerically,आंकिक रूप से
How do you translate this sentence to Hindi?,Scalar,अदिश
Rewrite the following in Hindi:,Vector,सदिश
Hindi translation of this sentence is required:,Linear,रैखिक
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Angular,कोणीय
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Parity,समता
Is vaakya ko Hindi mein kaise kahenge?,Strangeness,विचित्रता
Diya gaya vaakya Hindi mein badlein:,Existence,अस्तित्व
Is vaakya ka Hindi samanarth kya hai?,Symmetry,सममिति
Is vaakya ko Hindi mein anuvaad karein:,Identical,समरूप
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Translational,स्थानांतरीय
Is vaakya ko Hindi mein kaise translate karenge?,Displacement,विस्थापन
Neeche likha gaya vaakya Hindi mein likhein:,Space and time,दिक्काल
Is vaakya ka Hindi translation pradaan karein:,Isotropy,समदैशिकता
Translate the following sentence to Hindi:,Abstract,अमूर्त
Please provide the Hindi translation for the following sentence:,Concrete,मूर्त
How would you say this in Hindi?,Fundamental unit,मूल मात्रक
Convert the given sentence into Hindi:,Derived unit,व्युत्पन्न मात्रक
What is the Hindi equivalent of this sentence?,Sub-multiples,अपवर्तक
Translate this sentence into Hindi:,Prefix,पूर्वलग्न
Provide the Hindi version of the following:,Thermodynamic temperature,ऊष्मागतिक ताप
How do you translate this sentence to Hindi?,Arbitrarily chosen,स्वेच्छगृहीत
Rewrite the following in Hindi:,Parallax,"लंबन, पैरेलैक्स"
Hindi translation of this sentence is required:,Angular diameter,कोणीय व्यास
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Inferior planets,अंतर्ग्रह
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Elongation,प्रसर कोण
Is vaakya ko Hindi mein kaise kahenge?,Astronomical unit,खगोलीय मात्रक
Diya gaya vaakya Hindi mein badlein:,Detector,संसूचक
Is vaakya ka Hindi samanarth kya hai?,Reception,संग्रहण
Is vaakya ko Hindi mein anuvaad karein:,Echo,प्रतिध्वनि
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Exterior planets,बाह्य ग्रह
Is vaakya ko Hindi mein kaise translate karenge?,Semi major axis,अर्धदीर्घ अक्ष
Neeche likha gaya vaakya Hindi mein likhein:,Orbital period,कक्षीय अवधि
Is vaakya ka Hindi translation pradaan karein:,Resolution,विभेदन
Translate the following sentence to Hindi:,Beam,पुंज
Please provide the Hindi translation for the following sentence:,Tunneling microscopy,सुरंगन सूक्ष्मदर्शिका
How would you say this in Hindi?,Inertial mass,जड़त्वीय द्रव्यमान
Convert the given sentence into Hindi:,Gravitational mass,गुरुत्वीय द्रव्यमान
What is the Hindi equivalent of this sentence?,Significant figures,सार्थक अंक
Translate this sentence into Hindi:,Dimensional formula,विमीय सूत्र
Provide the Hindi version of the following:,Dimensional equation,विमीय समीकरण
How do you translate this sentence to Hindi?,Random errors,यादृच्छिक त्रुटियाँ
Rewrite the following in Hindi:,Least count error,अल्पत्मांक त्रुटियाँ
Hindi translation of this sentence is required:,Portable,सुबाह्य
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Revolution,"परिक्रमा, परिक्रमण"
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Path length,पथ लंबाई
Is vaakya ko Hindi mein kaise kahenge?,Coincide,संपाती
Diya gaya vaakya Hindi mein badlein:,Origin,मूल बिदु
Is vaakya ka Hindi samanarth kya hai?,Magnitude,परिमाण
Is vaakya ko Hindi mein anuvaad karein:,Direction,दिशा
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Rectilinear motion,सरल रेखीय गति
Is vaakya ko Hindi mein kaise translate karenge?,One dimensional motion,एक-विमीय गति
Neeche likha gaya vaakya Hindi mein likhein:,Backward,पश्चगामी
Is vaakya ka Hindi translation pradaan karein:,Forward,अग्रवर्ती
Translate the following sentence to Hindi:,Upward,"ऊर्ध्वगामी, उपरिमुखी"
Please provide the Hindi translation for the following sentence:,Downward,"अधोगामी, अधोमुखी"
How would you say this in Hindi?,Corresponding,तद्नुरूप
Convert the given sentence into Hindi:,Average velocity,औसत वेग
What is the Hindi equivalent of this sentence?,Average speed,औसत चाल
Translate this sentence into Hindi:,Standard notation,मानक अंकन
Provide the Hindi version of the following:,Slope,प्रवणता
How do you translate this sentence to Hindi?,Instantaneous velocity,तात्क्षणिक वेग
Rewrite the following in Hindi:,Infinitesimally small,अनंतः सूक्ष्म
Hindi translation of this sentence is required:,Connecting,संबद्ध
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Differential calculus,अवकल गणित
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Differential coefficient,अवकल गुणांक
Is vaakya ko Hindi mein kaise kahenge?,Tangent,स्पर्श रेखा
Diya gaya vaakya Hindi mein badlein:,Limiting process,सीमांत प्रक्रिया
Is vaakya ka Hindi samanarth kya hai?,Data,आंकड़े
Is vaakya ko Hindi mein anuvaad karein:,Exact expression,यथार्थ व्यंजक
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Function of time,समय का फलन
Is vaakya ko Hindi mein kaise translate karenge?,Inclined plane,नत समतल
Neeche likha gaya vaakya Hindi mein likhein:,Instantaneous acceleration,तात्क्षणिक त्वरण
Is vaakya ka Hindi translation pradaan karein:,Average acceleration,औसत त्वरण
Translate the following sentence to Hindi:,Interesting feature,रोचक लक्षण
Please provide the Hindi translation for the following sentence:,Smooth,निष्कोण
How would you say this in Hindi?,Arithmetic average,अंकीय औसत
Convert the given sentence into Hindi:,Odd number,विषम अंक
What is the Hindi equivalent of this sentence?,Successive interval of time,क्रमिक अंतराल
Translate this sentence into Hindi:,Stopping distance,रोधन दूरी
Provide the Hindi version of the following:,Braking distances,ब्रकिग दूे रियाँ
How do you translate this sentence to Hindi?,Reaction time,प्रतिक्रिया काल
Rewrite the following in Hindi:,Common point,उभयनिष्ठ
Hindi translation of this sentence is required:,Parabola,परवलय
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Algebra,बीजगणित
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Products of combustion,दहन उत्पाद
Is vaakya ko Hindi mein kaise kahenge?,Constant direction,नियत दिशा
Diya gaya vaakya Hindi mein badlein:,Stationary lift,स्थिर लिफ्रट
Is vaakya ka Hindi samanarth kya hai?,Observer,प्रेक्षक
Is vaakya ko Hindi mein anuvaad karein:,Kinematic,शुद्ध गतिक
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Kinematics,शुद्ध गतिकी
Is vaakya ko Hindi mein kaise translate karenge?,Rotation,घूर्णन
Neeche likha gaya vaakya Hindi mein likhein:,Graphical Method,आलेखी विधि
Is vaakya ka Hindi translation pradaan karein:,Analytical method,विश्लेषणात्मक विधि
Translate the following sentence to Hindi:,Scalar Product or dot product,अदिश गुणनफल
Please provide the Hindi translation for the following sentence:,Vector-product or cross product,सदिश गुणनफल
How would you say this in Hindi?,Projectile,प्रक्षेप्य
Convert the given sentence into Hindi:,Uniform circular motion,एकसमान वृत्तीय गति
What is the Hindi equivalent of this sentence?,Directional aspect,दिशात्मक दृष्टिकोण
Translate this sentence into Hindi:,Space,दिक्स्थान
Provide the Hindi version of the following:,Plane,समतल
How do you translate this sentence to Hindi?,Perimeter,परिमाप
Rewrite the following in Hindi:,Absolute value,परम मान
Hindi translation of this sentence is required:,Triangle law of vector addition,सदिशों का योग संबंधी त्रिभुज का नियम
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,"""Head and Tail"" rule",शीर्ष एवं पुच्छय् नियम
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Position vector,स्थिति सदिश
Is vaakya ko Hindi mein kaise kahenge?,Displacement vector,विस्थापन सदिश
Diya gaya vaakya Hindi mein badlein:,Velocity vector,वेग सदिश
Is vaakya ka Hindi samanarth kya hai?,Acceleration vector,त्वरण सदिश
Is vaakya ko Hindi mein anuvaad karein:,Unit vectors,एकांक सदिश
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Associative law of vector addition,सदिशों के जोड़ का साहचर्य नियम
Is vaakya ko Hindi mein kaise translate karenge?,Commutative law,क्रम-विनिमेय नियम
Neeche likha gaya vaakya Hindi mein likhein:,Distributive law,वितरण का नियम
Is vaakya ka Hindi translation pradaan karein:,Coincide,संपाती
Translate the following sentence to Hindi:,Equality,समतुल्यता
Please provide the Hindi translation for the following sentence:,Non-zero,शून्येतर
How would you say this in Hindi?,Right hand rule,दक्षिणावर्ती नियम
Convert the given sentence into Hindi:,Trigonometry,त्रिकोणमिति
What is the Hindi equivalent of this sentence?,Co-ordinates,निर्देशांक
Translate this sentence into Hindi:,Angle of elevation,उन्नयन कोण
Provide the Hindi version of the following:,Angle of declination,अवनमन कोण
How do you translate this sentence to Hindi?,Expression,व्यंजक
Rewrite the following in Hindi:,Law of sine,ज्या-नियम
Hindi translation of this sentence is required:,Law of cosine,कोज्या-नियम
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Radial,त्रिज्यीय
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Frame of reference,निर्देश-तंत्र
Is vaakya ko Hindi mein kaise kahenge?,Function,फलन
Diya gaya vaakya Hindi mein badlein:,Simultaneous,समकालिक
Is vaakya ka Hindi samanarth kya hai?,Time of flight,उड्डयन काल
Is vaakya ko Hindi mein anuvaad karein:,Cliff,चट्टान
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Centripetal force,अभिकेद्रं बल
Is vaakya ko Hindi mein kaise translate karenge?,Centripetal acceleration,अभिकेंद्र त्वरण
Neeche likha gaya vaakya Hindi mein likhein:,Time period,आवर्त काल
Is vaakya ka Hindi translation pradaan karein:,Frequency,आवृत्ति
Translate the following sentence to Hindi:,Absolute Alcohol,परिशुद्ध एल्कोहॉल
Please provide the Hindi translation for the following sentence:,Absolute temperature,परमताप
How would you say this in Hindi?,Absolute zero,परमशून्य
Convert the given sentence into Hindi:,Absorption,अवशोषण
What is the Hindi equivalent of this sentence?,Acceleration,त्वरण
Translate this sentence into Hindi:,Acceptor,ग्राही
Provide the Hindi version of the following:,Accumulator,संचायक
How do you translate this sentence to Hindi?,Achiral,इंगिता
Rewrite the following in Hindi:,Acidimetry,अम्लमिति
Hindi translation of this sentence is required:,Activation energy,सक्रियण ऊर्जा
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Active mass,सक्रिय संहति
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Activity,सक्रियता
Is vaakya ko Hindi mein kaise kahenge?,Activity coefficient,सक्रिय गुणांक
Diya gaya vaakya Hindi mein badlein:,Acyclic,अचक्रीय
Is vaakya ka Hindi samanarth kya hai?,Addition reaction,संकलन अभिक्रिया
Is vaakya ko Hindi mein anuvaad karein:,Addition polymerization,संकलन बहुलन
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Adduct,योगोत्पाद
Is vaakya ko Hindi mein kaise translate karenge?,Adiabatic,रूद्धोष्म
Neeche likha gaya vaakya Hindi mein likhein:,Adsorption,अधिशोषण
Is vaakya ka Hindi translation pradaan karein:,Aerosol,"वतिलयन,प्रश्लिष"
Translate the following sentence to Hindi:,Affinity,बंधुत्व
Please provide the Hindi translation for the following sentence:,Aliphatic,स्निग्ध
How would you say this in Hindi?,Anisotropy,अपररूपता
Convert the given sentence into Hindi:,‌‌‌‌‌‌‌‌Alum,फिटकरी
What is the Hindi equivalent of this sentence?,Amalgam,पारदधातु मिश्रण
Translate this sentence into Hindi:,Amorphous,अक्रिस्टलीय
Provide the Hindi version of the following:,Amphiprotic,उभयप्रोटिक
How do you translate this sentence to Hindi?,Amphoteric,उभयधर्मी
Rewrite the following in Hindi:,Anabolism,उपपाचन
Hindi translation of this sentence is required:,Analysis,विश्लेषण
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Anion,ॠणायन
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Anisotropy,विषमदैशिकता
Is vaakya ko Hindi mein kaise kahenge?,Annealing,अनिलिन
Diya gaya vaakya Hindi mein badlein:,Anode,धनाग्र
Is vaakya ka Hindi samanarth kya hai?,Anodizing,धनाग्रीकरण
Is vaakya ko Hindi mein anuvaad karein:,Antibonding orbital,प्रति-आबंधन कक्षक
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Antiknock agent,अपस्फोटरोधी कर्मक
Is vaakya ko Hindi mein kaise translate karenge?,Aqua regia,ऐक्वारेजिया
Neeche likha gaya vaakya Hindi mein likhein:,Aqueous,जलीय
Is vaakya ka Hindi translation pradaan karein:,Aromatic compound,ऐरोमैटिक यौगिक
Translate the following sentence to Hindi:,Aromaticity,ऐरोमैटिकता
Please provide the Hindi translation for the following sentence:,Arsenic,"आर्सेनिक, शंखिया"
How would you say this in Hindi?,Atmospheric aerosol,वायुमंडलीय प्रश्लिष
Convert the given sentence into Hindi:,Atom,परमाणु
What is the Hindi equivalent of this sentence?,Atomicity,परमाण्विकता
Translate this sentence into Hindi:,Atomic number,परमाणु-क्रमांक
Provide the Hindi version of the following:,Atomic weight,परमाणु-भार
How do you translate this sentence to Hindi?,Atomic orbital,परमाणु कक्षक
Rewrite the following in Hindi:,Azeotrope,स्थिरक्वाथी
Hindi translation of this sentence is required:,Bar spectrum,स्तम्भ वर्णक्रम
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Base,क्षार
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Base metal,आधार धातु
Is vaakya ko Hindi mein kaise kahenge?,Basic,क्षारीय
Diya gaya vaakya Hindi mein badlein:,Batch process,गण प्रक्रम
Is vaakya ka Hindi samanarth kya hai?,Bimolecular,द्वि-आणुक
Is vaakya ko Hindi mein anuvaad karein:,Bio-chemistry,जैव रसायन
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Biodegradable,जैव निम्नीकरणीय
Is vaakya ko Hindi mein kaise translate karenge?,Biosynthesis,जैव संश्लेषण
Neeche likha gaya vaakya Hindi mein likhein:,Bitumen,बिटूमेन
Is vaakya ka Hindi translation pradaan karein:,Bivalent,द्विसंयोजक
Translate the following sentence to Hindi:,Blast furnace,वात्या भट्टी
Please provide the Hindi translation for the following sentence:,Blende,ब्लैंड
How would you say this in Hindi?,Bleaching powder,विरंजक चूरा
Convert the given sentence into Hindi:,Bond,"बंध, आबन्ध, बन्धन"
What is the Hindi equivalent of this sentence?,Boiling point,क्वथनांक
Translate this sentence into Hindi:,Brass,पीतल
Provide the Hindi version of the following:,Buffer,बफ़र
How do you translate this sentence to Hindi?,By-product,उपोत्पाद
Rewrite the following in Hindi:,Calcination,निस्तापन
Hindi translation of this sentence is required:,Carbanion,कार्बन-ॠणायन
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Carbohydrates,कार्बोहाइड्रेट्स
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Carbonation,कार्बोनेटीकरण
Is vaakya ko Hindi mein kaise kahenge?,Carbon dating,कार्बन दिनांकन
Diya gaya vaakya Hindi mein badlein:,Carcinogen,कैंसरजन
Is vaakya ka Hindi samanarth kya hai?,Carnot cycle,कार्नो चक्र
Is vaakya ko Hindi mein anuvaad karein:,Cast iron,ढलवाँ लोहा
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Catabolism,अपचय
Is vaakya ko Hindi mein kaise translate karenge?,Catalyst,उत्प्रेरक
Neeche likha gaya vaakya Hindi mein likhein:,Catination,शृंखलन
Is vaakya ka Hindi translation pradaan karein:,Cathode,ऋणाग्र
Translate the following sentence to Hindi:,Cation,धनायन
